type,title,director,cast,country,rating,description,genres
Movie,The Incredibles 2,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Sarah Vowell, Huck Milner, Catherine Keener, Bob Odenkirk, Sophia Bush, Brad Bird, John Ratzenberger",United States,PG,"When Elastigirl gets recruited for a high-profile crime-fighting mission, Mr. Incredible takes on his toughest assignment ever: full-time parenting.","Kids, Comedy"
TV Show,Becoming Champions,,,Mexico,TV-G,This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.,"Documentaries, International"
TV Show,Bringing Sexy Back,,Samantha Armstrong,,TV-14,"In this reality series, everyday individuals adopt healthier lifestyles and transform their bodies to reclaim their confidence – with dramatic results.",International
Movie,Sardaarji 2,Rohit Jugraj,"Jaswinder Bhalla, Sonam Bajwa, Diljit Dosanjh, Monica Gill","Australia, India",TV-PG,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.,"Action, Comedy, International"
Movie,The Game,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl",United States,R,"Nicholas receives an unusual birthday present from his brother, Conrad – a gift certificate to play a unique kind of game formulated by ""CRS.""",Thriller
Movie,Murder Party,Jeremy Saulnier,"Alex Barnett, Macon Blair, Paul Goldblatt, Stacy Rock, William Lacey, Beau Sia, Skei Saulnier, Chris Sharp, Bill Tangradi",United States,NR,"A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party.""","Comedy, Horror"
TV Show,Forensic Files,,Peter Thomas,United States,TV-14,Detectives and crime lab technicians use the latest and most fascinating procedures to solve crimes in this documentary-style show.,Documentaries
Movie,Don't Go Breaking My Heart 2,Johnnie To,"Louis Koo, Gao Yuanyuan, Miriam Chin Wah Yeung, Vic Chou, Daniel Wu","Hong Kong, China",TV-14,"Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise.","Comedy, International, Romantic"
Movie,Aziz Ansari Live at Madison Square Garden,Aziz Ansari,Aziz Ansari,United States,TV-MA,"Stand-up comedian and TV star Aziz Ansari (""Parks and Recreation"") delivers his sharp-witted take on immigrants, relationships and the food industry.",Stand-up
Movie,W. Kamau Bell: Private School Negro,Shannon Hartman,W. Kamau Bell,United States,TV-MA,"Comedian W. Kamau Bell muses on parenting in the Trump era, ""free speech"" dustups, woke children's TV and his fear of going off the grid.",Stand-up
Movie,Step Sisters,Charles Stone III,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith, Gage Golightly, Matt McGorry, Marque Richardson, Alessandra Torresani, Naturi Naughton, Nia Jervier, Robert Curtis Brown",United States,TV-14,"With her Harvard Law dreams on the line, a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship.",Comedy
Movie,Advantageous,Jennifer Phang,"Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth",United States,NR,"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.","Drama, Sci-Fi & Fantasy"
Movie,Bee Movie,"Steve Hickner, Simon J. Smith","Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta","United States, Australia",PG,"Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along.","Kids, Comedy"
Movie,اشتباك,Mohamed Diab,"Nelly Karim, Hany Adel, Tarek Abdel Aziz, Ahmed Malek, Ahmed Dash, Husni Sheta, Aly Eltayeb, Amr El Kady, Mohamed Abd El Azim, Gameel Barsoum, Ashraf Hamdy","Egypt, France",TV-14,"Amid the tumult following Egyptian President Morsi's ouster, demonstrators from divergent backgrounds are brought together inside a police truck.","Drama, International"
Movie,Furthest Witness,Adam Del Giudice,"Aaron Stanford, Teri Reeves, Sean Patrick Flanery, Forrest Fyre, Steven Michael Quezada, Paul Blott, Travis Hammer, Ryan Begay, Jermaine Washington, Vincent McDaniel","United States, United Kingdom",TV-MA,"Kyle helps people disappear, but when a crazed killer starts hunting down his latest client, he has to decide what he's willing to do to keep her safe.","Drama, Thriller"
Movie,Once In A Lifetime Sessions with Noel Gallagher,Charlie Lightening,Noel Gallagher,,TV-MA,"Between scenes from an intimate performance, the Oasis legend reflects on his road to stardom and offers insights on his creative process.",Documentaries
Movie,Opium and the Kung Fu Master,Chia Tang,"Lung Ti, Te-Lo Mai, Leanne Liu, Kuan Tai Chen, Phillip Ko, Kuan-chung Ku, Kwok Kuen Chan, Hoi Sang Lee, Tau Wan Yue, Chia Tang, Shen Chan",Hong Kong,TV-MA,"Leader of the Ten Kwangtung Tigers, Tieh Chiao-san works with his kung fu students to protect his village from crime. But when an opium dealer starts to ruin the town, Tieh Chiao-san struggles to fight back, thanks to his growing opium addiction.","Action, International"
Movie,"What Happened, Miss Simone?",Liz Garbus,,United States,NR,"Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone.",Documentaries
Movie,Stronger Than the World,Afonso Poyart,"José Loreto, Cleo Pires, Milhem Cortaz, Jackson Antunes, Claudia Ohana, Rômulo Arantes Neto, Paloma Bernardi, Thaila Ayala, Rafinha Bastos, Felipe Titto",Brazil,NR,"After a tough upbringing, natural-born fighter José Aldo confronts his personal demons in his quest to become an MMA champion in this sports biopic.","Action, Drama, International"
TV Show,Highway to Heaven,,"Michael Landon, Victor French",United States,TV-PG,"Under God's direction, angel Jonathan and ex-cop Mark help troubled souls overcome adversity and embrace honesty, kindness and forgiveness.",Drama
Movie,The Meyerowitz Stories (New and Selected),Noah Baumbach,"Adam Sandler, Ben Stiller, Dustin Hoffman, Elizabeth Marvel, Grace Van Patten, Emma Thompson, Candice Bergen, Rebecca Miller, Danny Flaherty, Sakina Jaffrey, Adam David Thompson",United States,TV-MA,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.,"Comedy, Drama"
TV Show,The Chefs' Line,,"Dan Hong, Mark Olive, Melissa Leong, Maeve O'Meara",Australia,TV-14,Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.,International
TV Show,"Big Dreams, Small Spaces",,Monty Don,United Kingdom,TV-G,Writer and presenter Monty Don helps England's budding horticulturists plant and grow the gardens of their dreams.,"International, International"
Movie,Wandering Stars,"Syrine Boulanouar, Nekfeu",Nekfeu,France,TV-MA,"Navigating creative pressures and personal upsets, French rapper Nekfeu sets out on a global quest for musical inspiration in this documentary.","Documentaries, International"
TV Show,Men on a Mission,Jung-ah Im,"Ho-dong Kang, Soo-geun Lee, Sang-min Lee, Young-chul Kim, Jang-hoon Seo, Hee-chul Kim, Kyung-hoon Min",South Korea,TV-14,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.","International, International, Stand-up"
TV Show,Bard of Blood,,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain",India,TV-MA,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.","International, Action, Drama"
Movie,The River Thief,N.D. Wilson,"Joel Courtney, Tommy Cash, Paul Johansson, Bas Rutten, Raleigh Cain, David Shannon",United States,NR,"A heedless teen drifter who falls for a small-town waitress makes the mistake of robbing a drug lord, putting his life and newfound love in jeopardy.",Drama
TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,TV-14,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.,"Action, Sci-Fi & Fantasy"
Movie,Unfinished Song,Paul Andrew Williams,"Terence Stamp, Gemma Arterton, Christopher Eccleston, Vanessa Redgrave, Anne Reid, Elizabeth Counsell, Ram John Holder, Bill Thomas, Orla Hill","United Kingdom, Germany",PG-13,"With his wife terminally ill, Arthur's future seems grim. But he learns to find joy in life again when he joins an unconventional church choir.","Comedy, Drama"
TV Show,Bolívar,"Luis Alberto Restrepo, Andrés Beltrán, Jaime Rayo","Luis Gerónimo Abreu, José Ramón Barreto, Ernesto Benjumea, Félix Antequera, Jefferson Quiñones, Shany Nadan, María José Vargas, Hans Martínez, Mauro Mauad, Álvaro Bayona, Rosmeri Marval, Irene Esser, Nohely Arteaga",Colombia,TV-MA,"This dramatization depicts the life – and loves – of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.","International, Romantic, International"
Movie,Cristina,Michèle Ohayon,,United States,NR,"In this short documentary, 37-year-old Cristina valiantly battles cancer while doing all she can to encourage others to live in the moment.",Documentaries
TV Show,Love Around,,"George Hu, Annie Chen, Mandy Tao, Jack Lee, Tan Ai-Chen, Jian Chang, Wang Chuan",Taiwan,TV-14,"After a chance meeting at a ballpark, the kind son of a former gangster tries to help an outgoing radio DJ get over her recent heartbreak.","International, Romantic, Comedy"
Movie,Road to Yesterday,Ishaya Bako,"Genevieve Nnaji, Oris Erhuero, Majid Michel",Nigeria,NR,"Their marriage failing, Victoria and Izu try to reconnect during a road trip. But bringing long-repressed secrets to light threatens yet more discord.","Drama, International"
TV Show,First Team: Juventus,,,United States,TV-G,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,"Documentaries, International"
Movie,Forever Chape,Luis Ara,,Uruguay,TV-14,"In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history.","Documentaries, International"
TV Show,Nuestra Lucha Libre,,,,TV-MA,"This documentary series lifts the mask on Mexican wrestling, diving into the daily lives of its stars, examining the sport’s cultural impact and more.","Documentaries, International, International"
TV Show,Most Beautiful Thing,,"Maria Casadevall, Pathy Dejesus, Fernanda Vasconcellos, Mel Lisboa, Leandro Lima, Ícaro Silva, Gustavo Vaz, Alexandre Cioletti, Gustavo Machado",Brazil,TV-MA,"A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club.","International, Romantic, Drama"
Movie,My Ex & Whys,Cathy Garcia-Molina,"Liza Soberano, Enrique Gil, Joey Marquez, Cai Cortez, Arlene Muchlach, Ara Mina, Ryan Bang, Joross Gamboa, Jeffrey Tam, Neils Coleta",Philippines,TV-14,"Popular blogger Cali is hired for a marketing campaign alongside another viral sensation: her ex-boyfriend Gio, who's intent on winning her back.","Drama, International, Romantic"
Movie,Monty Python: The Meaning of Live,"Roger Graef, James Rogan","John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Mike Myers, Graham Chapman, Stephen Hawking",United Kingdom,TV-MA,"From heyday to curtain call, this documentary offers a rare glimpse of the legendary Monty Python troupe as it stages live shows after a long hiatus.",Documentaries
TV Show,Lugar de Mulher,,,Brazil,TV-MA,"Four comedians from Brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.","International, Stand-up, Comedy"
Movie,The Giant,"Aitor Arregi, Jon Garaño","Joseba Usabiaga, Eneko Sagardoy, Iñigo Aranburu, Ramón Aguirre, Aia Kruse, Iñigo Azpitarte",Spain,TV-MA,"In 1843, crippled Martin returns from war to his Basque hometown and finds his brother has grown into a giant, which they turn into a circus act.","Drama, International"
Movie,Garbage,Qaushiq Mukherjee,"Tanmay Dhanania, Trimala Adhikari, Satarupa Das, Satchit Puranik, Gitanjali Dang, Shruti Viswan, Nikhil Chopra, Krish Moitra",India,TV-MA,The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.,"Drama, International"
Movie,Kill the Irishman,Jonathan Hensleigh,"Ray Stevenson, Vincent D'Onofrio, Val Kilmer, Christopher Walken, Linda Cardellini, Fionnula Flanagan, Jason Butler Harner, Vinnie Jones, Paul Sorvino, Marcus Thomas, Tony Darrow, Jim Gaffigan, Jeremy Davies, Emma Roberts, Viola Davis, Lauren Graham, Zoë Kravitz, Aasif Mandvi, Keir Gilchrist",United States,R,"This true crime tale charts the rise and fall of mobster Danny Greene, who faced down the Mafia to gain control of organized crime in 1970s Cleveland.","Action, Drama"
Movie,When Angels Sleep,Gonzalo Bendala,"Julián Villagrán, Marian Álvarez, Ester Expósito, Sira Alonso de Alarcón, Asia Ortega, Daniel Jumillas, Christian Mulas",Spain,TV-MA,"After a businessman falls asleep at the wheel and hits a woman with his car, his interactions with her scared friend unleash a string of dark events.","Drama, International, Thriller"
Movie,The After Party,Ian Edelman,"Kyle Harvey, Harrison Holzer, Teyana Taylor, Shelley Hennig, Wiz Khalifa, Blair Underwood, Jordan Rock, Amin Joseph, Andy Buckley, Jamie Choi",United States,TV-MA,An aspiring rapper and his best friend/manager have one night to bounce back from embarrassment and make their dreams of hip-hop stardom come true.,Comedy
TV Show,Women Behind Bars,,,United States,TV-14,"This reality series recounts true stories of women who have been convicted for murder, including an in-depth examination of each crime.",Documentaries
Movie,Porto,Gabe Klinger,"Anton Yelchin, Lucie Lucas, Françoise Lebrun, Paulo Calatré","Portugal, France, Poland, United States",TV-MA,"In a coastal Portuguese city, an erotic encounter ensues between an American expat and a French student, resonating through their lives years later.","Drama, Romantic"
Movie,Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Ameesha Patel, Shiney Ahuja, Paresh Rawal, Rajpal Yadav, Manoj Joshi, Asrani, Vikram Gokhale, Rasika Joshi",India,TV-14,"Siddharth dismisses warnings that his palace might be haunted, until ghostly occurrences force him to reconsider his beliefs.","Drama, International, Thriller"
Movie,P.S. I Love You,Richard LaGravenese,"Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, James Marsters, Kathy Bates, Harry Connick Jr., Nellie McKay, Jeffrey Dean Morgan, Dean Winters",United States,PG-13,"When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope.","Drama, Romantic"
TV Show,The Good Bandit,,"Diego Vásquez, Carolina Acevedo, Norma Nivia, Ana María Arango, Álvaro Bayona, Katherine Porto, Tiberio Cruz, Felipe Calero, Jimena Durán, Andrés Toro, Sebastián Sánchez, Isabella Barragán",Colombia,TV-MA,"A near-death experience spurs a feared drug lord to leave behind his life of crime and infidelity, to the disbelief of everyone close to him.","International, International"
Movie,Harold and Lillian: A Hollywood Love Story,Daniel Raim,"Harold Michelson, Lillian Michelson, Mel Brooks, Francis Ford Coppola, Danny DeVito",United States,TV-14,"Storyboard artist Harold Michelson and his film researcher wife, Lillian, recall the influence they had on 60 years of Hollywood's biggest hits.",Documentaries
TV Show,La Robe De Mariee Des Cieux,,"Cyndi Wang, Leon Jay Williams, Chu Chung-heng, Michael Tao, Ming Dao, Jacky Chu, Ehlo Huang, Terri Kwan",Taiwan,TV-14,"After a chance encounter that ends on bad terms, two clashing strangers soon cross paths again as their fates become inevitably intertwined.","International, Romantic"
Movie,The Last Hangover,Rodrigo Van Der Put,"Fábio Porchat, Gregório Duvivier, Antonio Tabet, Pedro Benevides, Paulo Vieira, Rafael Portugal, Fábio de Luca, Karina Ramil, Evelyn Castro, Pedro Monteiro, Camilo Borges, Gabriel Totoro, Victor Leal, Rafael Logan",Brazil,TV-MA,"In this biblical ""Hangover"" spoof, the apostles awaken to find Jesus is missing and must piece together events of the previous night's wild Last Supper.","Comedy, International"
Movie,Kahaani,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee, Dhritiman Chatterjee, Saswata Chatterjee, Indraneil Sengupta, Nawazuddin Siddiqui, Darshan Jariwala, Masood Akhtar, Riddhi Sen",India,TV-14,"Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.","International, Thriller"
Movie,Desire,Diego Kaplan,"Carolina Ardohain, Mónica Antonópulos, Guilherme Winter, Juan Sorini, Andrea Frigerio",Argentina,TV-MA,A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom.,"Drama, International, Romantic"
TV Show,Lo que la vida me robó,,"Angelique Boyer, Sebastián Rulli, Luis Roberto Guzmán, Osvaldo Benavides, Daniela Castro, Ana Bertha Espín, Gabriela Rivero, Alejandro Ávila, Alejandra García, Carlos de la Mota, Sergio Sendel, Ferdinando Valencia, Grettell Valdez, Verónica Jaspeado, Margarita Magaña, Alexis Ayala, Alejandra Procuna, Juan Carlos Barreto",Mexico,TV-14,"In seaside Aguazul, beautiful Montserrat and her wily mother tangle with lovers, gangsters, financial ruin, obsession – and murder.","International, Romantic"
Movie,Boom,Kaizad Gustad,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani",India,TV-MA,"Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds.","Action, Drama, International"
TV Show,Million Yen Women,,"Yojiro Noda, Rila Fukushima, Rena Matsui, Miwako Wagatsuma, Rena Takeda, Yuko Araki, Yuya Endo, Kaito Yoshimura, Moeka Hoshi, Juri Ihata, Mariko Tsutsui, Kanji Furutachi, Tetsuhiro Ikeda, Takashi Yamanaka, Tomoya Nakamura, Lily Franky",Japan,TV-MA,"Five beautiful but mysterious women move in with unsuccessful novelist Shin, who manages their odd household in exchange for a tidy monthly sum.","International, Drama"
Movie,Swades,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Balal, Smith Seth, Lekh Tandon, Rajesh Vivek, Daya Shankar Pandey, Farrukh Jaffar",India,TV-PG,An Americanized NASA scientist returns to his native India on a business trip and searches for the nanny who helped raise him.,"Drama, International"
TV Show,Jojo's World,,"Tia Lee, In Deok Hwang, Yen-j, Jason Hsu, Andy Wu, Sharon Hsu",Taiwan,TV-14,"Diagnosed with a condition that could make her infertile, a career woman must choose one of four bachelors to make a baby with before time runs out.","International, Romantic, Comedy"
Movie,House Arrest,"Shashanka Ghosh, Samit Basu","Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar",India,TV-14,A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,"Comedy, International"
Movie,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Sylvester Groth, Martin Wuttke","Germany, United States",R,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",Action
TV Show,Arrested Development,,"Jason Bateman, Portia de Rossi, Will Arnett, Michael Cera, Alia Shawkat, Tony Hale, David Cross, Jeffrey Tambor, Jessica Walter, Ron Howard",United States,TV-14,"It's the Emmy-winning story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",Comedy
TV Show,American Crime,,"Felicity Huffman, Timothy Hutton, Elvis Nolasco, Regina King, Lili Taylor, Richard Cabral, Brent Anderson, Benito Martinez, Shane Jacobsen, W. Earl Brown, Caitlin Gerard, Penelope Ann Miller, Johnny Ortiz",United States,TV-14,"This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",Drama
TV Show,Jonathan Strange & Mr Norrell,Toby Haynes,"Eddie Marsan, Bertie Carvel, Marc Warren, Charlotte Riley, Alice Englert, Samuel West, Enzo Cilenti, Paul Kaye, Edward Hogg, Ariyon Bakare",United Kingdom,TV-14,"In 1806, ambitious magician Norrell leads a revival of practical magic in England and ignites a fierce rivalry with bold young conjurer Strange.","International, Drama, Sci-Fi & Fantasy"
TV Show,The Day Will Come,,"Sofie Gråbøl, Lars Mikkelsen, Harald Kaiser Hermann, Albert Rudbeck Lindhardt, Laurids Skovgaard Andersen, Søren Sætter Lassen, Sonja Richter, David Dencik, Solbjørg Højfeldt, Lars Ranthe",Denmark,TV-MA,"In 1967, two brothers from Copenhagen, Denmark, wind up in an orphanage, where the headmaster's cruel tyranny slowly provokes the kids to push back.","International, Drama"
TV Show,Chip and Potato,,"Abigail Oliver, Andrea Libman, Briana Buckmaster, Brian Dobson, Chance Hurstfield, Dominic Good, Emma Jayne Maas, Evan Byarushengo, Scotia Anderson, Alessandro Juliani","Canada, United Kingdom",TV-Y,"Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal.",Kids
Movie,No Other Woman,Ruel S. Bayani,"Anne Curtis, Derek Ramsay, Cristine Reyes, Tirso Cruz III, Carmi Martin, John Arcilla, Marlann Flores, Ron Morales, Kat Alano",Philippines,TV-14,"A happily married man gives in to temptation when a wealthy client pursues him, setting off a torrid love triangle.","Drama, International, Romantic"
TV Show,The IT Crowd,,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry",United Kingdom,TV-MA,"Aided by a tech-illiterate manager, a pair of basement-dwelling dweebs makes the most of life in IT at a corporation run by a cloddish new owner.","International, International"
Movie,Last Breath,"Alex Parkinson, Richard da Costa",,"United Kingdom, Belgium, Sweden",TV-14,"A commercial diver becomes trapped on the ocean floor with dwindling oxygen and little hope of a timely rescue, so he tries to save himself.","Documentaries, International"
Movie,Ideachi Kalpana,Sachin,"Bhargavi Chirmuley, Mahesh Kothare, Sachin, Ashok Saraf, Nirmiti Sawant",India,TV-14,"After an actor is hit by a car driven by the police commissioner's sister, his scheming brother-in-law files a bogus suit against the commissioner.","Comedy, International, Romantic"
Movie,Revenge of the Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Nam Ron, Tony Eusoff, Wan Hanafi Su","Singapore, Malaysia",TV-14,A wedding in a Malaysian village leaves out one guest: a scorned vampire ghost bent on settling a secret score with the groom and anyone in her way.,"Horror, International"
Movie,Betting on Zero,Ted Braun,William Ackman,United States,TV-PG,"This documentary dives into the complex world of Herbalife, the international nutritional products company accused of being a pyramid scheme.",Documentaries
Movie,Steel Rain,Yang Woo-seok,"Woo-sung Jung, Do-won Kwak, Kap-soo Kim, Woo-jin Jo, Eui-sung Kim, Kyeong-yeong Lee, Won-joong Jung, Hyun-sung Jang",South Korea,TV-MA,"Amid a coup, a North Korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a Korean war.","Action, Drama, International"
Movie,Bangistan,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat, Kumud Mishra, Chandan Roy Sanyal, Arya Babbar, Shivkumar Subramaniam, Tom Alter, Jacqueline Fernandez",India,TV-14,"Sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course.","Comedy, Drama, International"
TV Show,Blazing Transfer Students,,"Daiki Shigeoka, Akito Kiriyama, Junta Nakama, Tomohiro Kamiyama, Ryusei Fujii, Takahiro Hamada, Nozomu Kotaki, Umika Kawashima, Takeshi Kaga, Norio Wakamoto",Japan,TV-MA,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal.","International, Action, Comedy"
Movie,Professor Mack,Christopher Nolen,"Lisa Wu, Timon Kyle Durrett, Robert Christopher Riley, Erica Hubbard, Amin Joseph, Christopher Nolen, Larry Biela, Jackie Christie, Katharin 'Ladie K' Mraz, Simeon Henderson",United States,TV-MA,"When a confident college professor is courted by four eligible and well-established men, she struggles to decide who she likes the best.","Comedy, Romantic"
Movie,Candy Jar,Ben Shelton,"Christina Hendricks, Helen Hunt, Uzo Aduba, Sami Gayle, Jacob Latimore",United States,TV-14,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,"Kids, Drama, Romantic"
Movie,Why Knot,Dhruv Dhawan,,"Canada, India, Thailand, United States, United Arab Emirates",TV-MA,"Pressured by his traditional family to marry, a filmmaker explores the idea of monogamy and the possibility of lifelong union without sexual fidelity.",Documentaries
Movie,Little Boxes,Rob Meyer,"Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence, Janeane Garofalo, Christine Taylor, Nadia Dajani, Veanne Cox, Will Janowitz, Julie Hays",United States,TV-14,"After moving from New York City to a small town in Washington state, an interracial couple and their preteen son struggle to adjust to their new life.","Comedy, Drama"
Movie,Doubt,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis, Alice Drummond, Audrie Neenan, Susan Blommaert, Carrie Preston, Lydia Jordan, Lloyd Clay Brown",United States,PG-13,"Sister Aloysius begins to have doubts about doting Father Flynn, who seems to have become overly involved in the life of an African American pupil.",Drama
TV Show,Suits,,"Jang Dong-gun, Park Hyung-sik, Jin Hee-kyung, Chae Jung-an, Ko Sung-hee, Choi Guy-hwa, Kim Young-ho, Lee Sang-yi",South Korea,TV-14,A renowned corporate attorney at a prestigious firm gambles on a dropout with a photographic memory but no law degree to help on high-stakes cases.,"International, International, Drama"
Movie,Pinky Memsaab,Shazia Ali Khan,"Hajira Yamin, Kiran Malik, Adnan Jaffar, Sunny Hinduja, Khalid Ahmed, Shamim Hilaly, Hajrah Khan, Ahmed Ali Khan","Pakistan, United Arab Emirates",TV-14,"When a guileless young woman becomes the domestic worker in a wealthy Dubai household, her bond with her posh employer changes both of their lives.","Drama, International"
Movie,The Vault,Dan Bush,"Taryn Manning, Francesca Eastwood, James Franco, Scott Haze, Q'Orianka Kilcher, Keith Loneker, Clifton Collins Jr., Jeff Gum",United States,TV-MA,A bank heist takes an unnerving turn when the three sibling robbers attempt to gain entrance into an subterranean vault with sinister secrets.,"Horror, Thriller"
TV Show,All About Love,,"Christina Mok, River Huang, Stone Yang, April Liu, Andy Wu, Jake Hsu",Taiwan,TV-14,Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.,"International, Drama, Horror"
Movie,Mad World,Chun Wong,"Shawn Yue, Eric Tsang, Elaine Jin, Charmaine Fong",Hong Kong,TV-MA,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.","Drama, International"
TV Show,Mother Goose Club,,,United States,TV-Y,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,Kids
TV Show,"Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija",,,,TV-Y7,"A clever uncle-nephew duo solves mysteries, crimes and other problems for the citizens of a colorful town where something zany is always going down.",Kids
TV Show,Messiah,,"Michelle Monaghan, Mehdi Dehbi, John Ortiz, Tomer Sisley, Melinda Page Hamilton, Stefania LaVie Owen, Sayyid El Alami, Jane Adams, Wil Traval, Fares Landoulsi",United States,TV-MA,A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.,"Drama, Thriller"
Movie,Barbie: Princess Charm School,Ezekiel Norton,"Diana Kaarina, Morwenna Banks, Nicole Oliver, Brittney Wilson, Ali Liebert, Shannon Chan-Kent, Madeleine Peters, Cathy Weseluck, Ellen Kennedy, Vincent Tong, Derek Waters, Brian Drummond, Tabitha St. Germain, Bethany Brown, Miranda Nolte, Kelly Metzger, Kazumi Evans, Anna Cummer","United States, Canada",TV-Y,"Blair Willows is excited when she gets to go to Princess Charm School, where she meets princesses Delancy and Hadley, and searches for a magic crown.",Kids
Movie,NOVA: Killer Floods,,Craig Sechler,United States,TV-PG,Scientists search for evidence left behind by the world’s greatest floods and predict if climate change will cause even greater aquatic disasters.,Documentaries
